序号,月份,商铺号,商铺名称,水表井编号,水表规格(DN),上月读数(m³),上月用量(吨),本月读数(m³),客户签字,用量(吨),单价(元),金额(元)
1,2026-09,B1-301,盒马鲜生,B1-W01,80,96850,2654,99327,,2477,5.95,14738.15
2,2026-09,B1-301,盒马鲜生（水产加工区）,B1-W02,50,41280,1287,42453,,1173,5.95,6979.35
3,2026-09,B1-302,麦当劳,B1-W03,32,8735,402,9109,,374,5.95,2225.3
4,2026-09,B1-303,肯德基,B1-W04,32,9152,415,9551,,399,5.95,2374.05
5,2026-09,B1-304,五谷磨房,B1-W05,20,1024,45,1062,,38,5.95,226.1
6,2026-09,B1-305,85度C,B1-W06,25,1987,66,2059,,72,5.95,428.4
7,2026-09,B1-306,海马体照相馆,B1-W07,20,743,29,768,,25,5.95,148.75
8,2026-09,L6-201,孩子王,6F-W01,32,7015,343,7296,,281,5.95,1671.95
9,2026-09,L6-202,反斗乐园,6F-W02,25,3158,154,3286,,128,5.95,761.6
10,2026-09,L6-203,金宝贝早教,6F-W03,25,2214,108,2298,,84,5.95,499.8
11,2026-09,L6-204,美吉姆儿童运动中心,6F-W04,25,2347,115,2431,,84,5.95,499.8
12,2026-09,L6-205,巴拉巴拉,6F-W05,20,987,48,1021,,34,5.95,202.3
13,2026-09,L6-206,卡通尼乐园,6F-W06,25,2890,141,2994,,104,5.95,618.8
14,2026-09,L7-101,优衣库,7F-W01,25,4132,202,4291,,159,5.95,946.05
15,2026-09,L7-102,ZARA,7F-W02,25,3865,189,4012,,147,5.95,874.65
16,2026-09,L7-103,华为智能生活馆,7F-W03,32,6218,305,6451,,233,5.95,1386.35
17,2026-09,L7-104,小米之家,7F-W04,25,4589,224,4760,,171,5.95,1017.45
18,2026-09,L7-105,无印良品,7F-W05,25,3944,193,4093,,149,5.95,886.55
19,2026-09,L7-106,迪卡侬,7F-W06,32,5876,288,6102,,226,5.95,1344.7
20,2026-09,L7-107,名创优品,7F-W07,20,1425,69,1478,,53,5.95,315.35
21,2026-09,L7-108,屈臣氏,7F-W08,25,2633,128,2731,,98,5.95,583.1
22,2026-09,L7-109,丝芙兰,7F-W09,20,1189,57,1236,,47,5.95,279.65
23,2026-09,L7-110,周大福,7F-W10,20,856,41,889,,33,5.95,196.35
24,2026-09,L8-001,海底捞火锅,8F-W01,40,12580,612,13298,,718,5.95,4272.1
25,2026-09,L8-001,海底捞火锅（后厨专表）,8F-W02,32,8630,425,9077,,447,5.95,2659.65
26,2026-09,L8-002,星巴克甄选,8F-W03,25,3215,156,3354,,139,5.95,827.05
27,2026-09,L8-003,喜茶,8F-W04,25,2046,98,2165,,119,5.95,708.05
28,2026-09,L8-004,太二酸菜鱼,8F-W05,32,9562,470,10088,,526,5.95,3129.7
29,2026-09,L8-005,西贝莜面村,8F-W06,40,11208,565,11716,,508,5.95,3022.6
30,2026-09,L8-006,哈根达斯,8F-W07,20,1568,72,1621,,53,5.95,315.35
31,2026-09,L8-007,凑凑火锅,8F-W08,40,14892,735,15780,,888,5.95,5283.6
32,2026-09,L8-008,绿茶餐厅,8F-W09,50,28650,1382,29790,,1140,5.95,6783
33,2026-09,L8-009,必胜客,8F-W10,32,7856,398,8237,,381,5.95,2266.95
34,2026-09,L8-010,纯K（自助餐厅）,8F-W11,32,5230,261,5521,,291,5.95,1731.45
35,2026-09,L8-010,纯K（吧台）,8F-W12,25,1892,95,1978,,86,5.95,511.7
36,2026-09,L8-011,南京大牌档,8F-W13,40,13420,668,13995,,575,5.95,3421.25
37,2026-09,L8-012,奈雪的茶,8F-W14,25,2874,141,2996,,122,5.95,725.9
38,2026-09,L8-013,捞王锅物料理,8F-W15,40,12033,587,12712,,679,5.95,4040.05
39,2026-09,L8-014,DQ冰淇淋,8F-W16,20,1246,58,1298,,52,5.95,309.4
40,2026-09,L8-015,瑞幸咖啡,8F-W17,25,2418,118,2513,,95,5.95,565.25
